,country,state,city,lat,lon,wind_speed_50m,wind_speed_100m,wind_speed_150m
0,USA,Alabama,Birmingham,33.5186,-86.8104,4.3838415,5.599855,6.4800525
1,USA,Alaska,Anchorage,61.2181,-149.9003,4.99556,5.49257,5.813587
2,USA,Arizona,Phoenix,33.4484,-112.074,2.9970992,3.6149452,4.0042377
3,USA,Arkansas,Little Rock,34.7465,-92.2896,4.463804,5.5842104,6.495348
4,USA,California,Los Angeles,34.0522,-118.2437,2.729708,3.2398598,3.5153496
5,USA,Colorado,Denver,39.7392,-104.9903,3.3344028,4.1561155,4.665728
6,USA,Connecticut,Bridgeport,41.1792,-73.1894,5.015281,6.121227,6.8383408
7,USA,Delaware,Wilmington,39.7391,-75.5398,4.5191317,5.779382,6.701218
8,USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457
9,USA,Georgia,Atlanta,33.749,-84.388,4.664986,5.6723924,6.467553
10,USA,Hawaii,Honolulu,21.3069,-157.8583,5.251651,6.6831255,7.421436
11,USA,Idaho,Boise,43.615,-116.2023,3.3708248,4.0730658,4.525595
12,USA,Illinois,Chicago,41.8781,-87.6298,6.292622,7.3213973,8.05645
13,USA,Indiana,Indianapolis,39.7684,-86.1581,5.000236,6.266613,7.1801386
14,USA,Iowa,Des Moines,41.5868,-93.625,5.0926886,6.3645744,7.420443
15,USA,Kansas,Wichita,37.6872,-97.3301,5.722939,7.107574,8.197908
16,USA,Kentucky,Louisville,38.2527,-85.7585,4.6388736,5.660194,6.498373
17,USA,Louisiana,New Orleans,29.9511,-90.0715,4.752861,5.87278,6.663433
18,USA,Maine,Portland,43.6591,-70.2568,5.515271,6.518045,7.3033934
19,USA,Maryland,Baltimore,39.2904,-76.6122,4.6361594,5.7341805,6.463388
20,USA,Massachusetts,Boston,42.3601,-71.0589,5.6623025,6.728487,7.538968
21,USA,Michigan,Detroit,42.3314,-83.0458,5.66138,6.79543,7.6424203
22,USA,Minnesota,Minneapolis,44.9778,-93.265,5.335675,6.586311,7.4905796
23,USA,Mississippi,Jackson,32.2988,-90.1848,4.4033256,5.482944,6.3096476
24,USA,Missouri,Kansas City,39.0997,-94.5786,5.6228094,6.908264,7.7765713
25,USA,Montana,Billings,45.7833,-108.5007,4.2770567,5.362777,6.102215
26,USA,Nebraska,Omaha,41.2565,-95.9345,5.4425693,6.7975554,7.8088074
27,USA,Nevada,Las Vegas,36.1699,-115.1398,3.7144794,4.262923,4.601448
28,USA,New Hampshire,Manchester,42.9956,-71.4548,4.4978213,5.5894184,6.4181156
29,USA,New Jersey,Newark,40.7357,-74.1724,4.7598,5.9211745,6.787707
30,USA,New Mexico,Albuquerque,35.0844,-106.6504,3.4423144,4.293556,4.832052
31,USA,New York,New York City,40.7128,-74.006,5.1430116,6.490777,7.335314
32,USA,North Carolina,Charlotte,35.2271,-80.8431,4.512407,5.5322523,6.3893647
33,USA,North Dakota,Fargo,46.8772,-96.7898,5.509197,6.9723854,8.037709
34,USA,Ohio,Columbus,39.9612,-82.9988,4.8577356,6.0138817,6.8743224
35,USA,Oklahoma,Oklahoma City,35.4676,-97.5164,6.245963,7.575304,8.5877285
36,USA,Oregon,Portland,45.5051,-122.675,3.7120638,4.931187,5.753706
37,USA,Pennsylvania,Philadelphia,39.9526,-75.1652,4.940508,6.1310177,6.93578
38,USA,Rhode Island,Providence,41.824,-71.4128,4.567392,5.871084,6.7691765
39,USA,South Carolina,Charleston,32.7765,-79.9311,5.3132563,6.2817616,6.9405046
40,USA,South Dakota,Sioux Falls,43.5446,-96.7311,5.403001,7.0662165,8.211534
41,USA,Tennessee,Nashville,36.1627,-86.7816,4.611167,5.4996543,6.2544227
42,USA,Texas,Houston,29.7604,-95.3698,4.4563565,5.6581626,6.508102
43,USA,Utah,Salt Lake City,40.7608,-111.891,3.0634413,3.64735,4.0104885
44,USA,Vermont,Burlington,44.4759,-73.2121,4.6575227,5.92437,6.769487
45,USA,Virginia,Virginia Beach,36.8529,-75.978,6.3359323,7.3916388,8.172784
46,USA,Washington,Seattle,47.6062,-122.3321,4.343778,5.1563315,5.7371445
47,USA,West Virginia,Charleston,38.3498,-81.6326,3.7197943,4.7248306,5.560599
48,USA,Wisconsin,Milwaukee,43.0389,-87.9065,5.824538,6.9283776,7.6705055
49,USA,Wyoming,Cheyenne,41.14,-104.8202,6.167609,7.7213144,8.68463
